FACILITY NAME,PERMIT ID,URL TO PERMIT TEXT,FACILITY LOCATION,FACILITY CITY,FACILITY STATE,FACILITY ZIP,ISSUE DATE,EXPIRE DATE,Location
SETAUKET TERMINAL - NORTHVILLE IND CORP,1-4722-00696/00014,http://www.dec.ny.gov/dardata/boss/afs/permits/147220069600014.pdf,19 BELLE MEADE RD,EAST SETAUKET,NY,11733,12/21/1999,,
ASPHALT SUPPLY OF LONG ISLAND LLC,1-4722-01183/00007,http://www.dec.ny.gov/dardata/boss/afs/permits/147220118300007.pdf,56 COMSEWOGUE RD|SCTM #0200-134-4-5.1,E SETAUKET,NY,11733,07/07/2006,,
LYDEL BROOKHAVEN ASPHALT FACILITY,1-4722-03465/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/147220346500001.pdf,19B STIRIZ RD,BROOKHAVEN,NY,11719,02/05/2001,,
FRAMERICA CORP,1-4722-04066/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/147220406600001_r1.pdf,2 TODD CT,YAPHANK,NY,11980,05/30/2006,,
J KINGS FOOD SERVICE PROFESSIONALS GEN,1-4722-04407/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/147220440700001.pdf,700 FURROWS RD,HOLTSVILLE,NY,11742,11/25/2002,,
SKYLINE LLC,1-4722-04474/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/147220447400001.pdf,56 COMSEWOGUE RD|SCTM #0200-134-4-6.14,EAST SETAUKET,NY,11733,02/15/2005,,
MOUNT PLEASANT CEMETERY & CREMATORY,1-4722-04513/00004,http://www.dec.ny.gov/dardata/boss/afs/permits/147220451300004.pdf,1 OLD CEMETERY RD|SCTM 0200-830-02-28.1,CENTER MORICHES,NY,11934,05/14/2014,05/13/2024,
NEWSDAY,1-4726-00157/00003,http://www.dec.ny.gov/dardata/boss/afs/permits/147260015700003.pdf,235 PINELAWN RD,MELVILLE,NY,11746,01/19/2001,,
NORTHPORT VA MEDICAL CENTER,1-4726-00237/00010,http://www.dec.ny.gov/dardata/boss/afs/permits/147260023700010.pdf,79 MIDDLEVILLE RD,NORTHPORT,NY,11768,02/15/2005,,
110 SAND CO,1-4726-00330/00004,http://www.dec.ny.gov/dardata/boss/afs/permits/147260033000004.pdf,BETHPAGE--SPAGNOLI RD,MELVILLE,NY,11746,04/01/2005,,
110 SAND CLEAN FILL DISPOSAL SITE,1-4726-00490/00011,http://www.dec.ny.gov/dardata/boss/afs/permits/147260049000011_r1.pdf,136 BETHPAGE-SPAGNOLI RD,MELVILLE,NY,11747,09/18/2013,09/17/2023,
CRESTWOOD METAL COMPANY,1-4728-00111/02001,http://www.dec.ny.gov/dardata/boss/afs/permits/147280011102001.pdf,1100 LINCOLN AVE,HOLBROOK,NY,11741,11/13/2007,03/16/2017,
NYS PILGRIM PSYCHIATRIC CENTER,1-4728-00245/00013,http://www.dec.ny.gov/dardata/boss/afs/permits/147280024500013.pdf,998 CROOKED HILL RD,WEST BRENTWOOD,NY,11717,08/22/2013,08/21/2023,
Poly Craft Industries,1-4728-00618/00007,http://www.dec.ny.gov/dardata/boss/afs/permits/147280061800007.pdf,40 RANICK RD,HAUPPAUGE,NY,11788,09/01/2015,08/31/2020,
CEDAR GRAPHICS IGI,1-4728-01386/00018,http://www.dec.ny.gov/dardata/boss/afs/permits/147280138600018.pdf,1700 OCEAN AVE,RONKONKOMA,NY,11779,08/06/2015,05/10/2025,
NBTY -THE CAMPUS COMPLEX,1-4728-01898/00004,http://www.dec.ny.gov/dardata/boss/afs/permits/147280189800004.pdf,90 ORVILLE DR,BOHEMIA,NY,11716,04/03/2015,04/02/2025,
ASTRO ELECTROPLATING INC,1-4728-04227/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/147280422700001.pdf,171 4TH AVE,BAY SHORE,NY,11706,03/19/2009,,
UNITED RIVERHEAD TERMINAL,1-4730-00023/00041,http://www.dec.ny.gov/dardata/boss/afs/permits/147300002300041.pdf,212 SOUND SHORE RD,RIVERHEAD,NY,11901,06/11/2014,06/10/2019,
ALTAIRE PHARMACEUTICALS,1-4730-00185/00042,http://www.dec.ny.gov/dardata/boss/afs/permits/147300018500042.pdf,311 WEST LN|SCTM 600-066-02-2.1,AQUEBOGUE,NY,11931,04/27/2010,,
BONSAL AMERICAN,1-4730-01303/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/147300130300001_r2.pdf,931 BURMAN BLVD. |(4061-701 GRUMMAN BLVD - SCTM# 600-135-1-7.8),CALVERTON,NY,11933,11/18/2010,,
PALL CORPORATION,1-4734-00227/02001,http://www.dec.ny.gov/dardata/boss/afs/permits/147340022702001.pdf,225 MARCUS BLVD,HAUPPAUGE,NY,11788,08/13/2008,,
ST CATHERINE OF SIENA MEDICAL CENTER,1-4734-00264/00015,http://www.dec.ny.gov/dardata/boss/afs/permits/147340026400015.pdf,50 ST RTE 25A,SMITHTOWN,NY,11787,05/30/2002,,
SUFFOLK ASPHALT SUPPLY INC,1-4734-00610/02001,http://www.dec.ny.gov/dardata/boss/afs/permits/147340061002001.pdf,242 RABRO DR,HAUPPAUGE,NY,11788,12/17/2008,,
LONG ISLAND STERILIZATION,1-4734-00743/00006,http://www.dec.ny.gov/dardata/boss/afs/permits/147340074300006.pdf,175 WIRELESS BLVD,HAUPPAUGE,NY,11788,04/16/2008,,
SMITHTOWN MUNICIPAL SERVICES FACILITY (SMITHTOWN LANDFILL),1-4734-01810/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/147340181000001.pdf,85 OLD NORTHPORT RD,KINGS PARK,NY,11754,11/26/2013,11/25/2023,
PERRY B DURYEA JR STATE OFFICE BUILDING,1-4734-02102/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/147340210200001.pdf,250 VETERANS MEMORIAL HWY,HAUPPAUGE,NY,11788,06/02/2010,,
JOSH PACKAGING INC,1-4734-02210/00002,http://www.dec.ny.gov/dardata/boss/afs/permits/147340221000002.pdf,245 MARCUS BLVD,HAUPPAUGE,NY,11788,02/12/2015,02/11/2025,
KETCHAM SUPPLY INC,1-4734-02257/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/147340225700001.pdf,140 OLD NORTHPORT RD,KINGS PARK,NY,11754,02/19/2014,02/18/2024,
SOUTHAMPTON HOSPITAL,1-4736-00387/00009,http://www.dec.ny.gov/dardata/boss/afs/permits/147360038700009.pdf,240 MEETING HOUSE LN,SOUTHAMPTON,NY,11968,01/31/2006,,
JOHN T MONTECALVO INC,1-4736-00678/00007,http://www.dec.ny.gov/dardata/boss/afs/permits/147360067800007.pdf,1217 SPEONK RIVERHEAD RD,SPEONK,NY,11972,07/12/2001,,
SUFFOLK ASPHALT SUPPLY INC,1-4736-02523/00003,http://www.dec.ny.gov/dardata/boss/afs/permits/147360252300003.pdf,100 ROGERS AVE EXT,WESTHAMPTON BEACH,NY,11978,12/16/2008,,
BIDEAWEE INC PET MEMORIAL PARK AND CREMATORY,1-4736-03683/00004,http://www.dec.ny.gov/dardata/boss/afs/permits/147360368300004.pdf,118 OLD COUNTRY RD|SCTM# 900-276-3-5.2,WESTHAMPTON,NY,11977,04/01/2005,,
CORAZZINI BROTHERS INC,1-4738-00006/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/147380000600001_r1.pdf,67240 ST RTE 25,GREENPORT,NY,11944,08/18/2015,08/17/2020,
PLUM ISLAND ANIMAL DISEASE CTR,1-4738-00028/00030,http://www.dec.ny.gov/dardata/boss/afs/permits/147380002800030_r1.pdf,PLUM ISLAND,PLUM ISLAND,NY,,01/02/2015,01/01/2025,
GREENPORT POWER PLANT,1-4738-03206/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/147380320600001.pdf,236 THIRD ST,GREENPORT,NY,11944,08/15/2003,,
FISHERS ISLAND UTILITY COMPANY,1-4738-03923/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/147380392300001.pdf,1866 CENTRAL AVE,FISHERS ISLAND,NY,6390,03/08/2010,,
SUNY FARMINGDALE,1-4799-00082/00013,http://www.dec.ny.gov/dardata/boss/afs/permits/147200132100013.pdf,2350 BROADHOLLOW RD (ST RTE 110),FARMINGDALE,NY,11735,12/21/1999,,
CENTURY TOWER ASSOCIATES NY LLC,2-6001-00023/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/260010002300001.pdf,2600 NETHERLAND AVE,BRONX,NY,10463,02/15/2011,,
PROMENADE ASSOCIATES,2-6001-00202/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/260010020200001.pdf,150 W 225TH ST,BRONX,NY,10463,07/27/2006,,
PECKHAM MATERIALS CORP PLANT 22,2-6002-00062/00005,http://www.dec.ny.gov/dardata/boss/afs/permits/260020006200005.pdf,3966 PROVOST AVE,BRONX,NY,10466,06/08/2000,,
MONTEFIORE MEDICAL CENTER - NORTH DIVISION,2-6002-00085/00002,http://www.dec.ny.gov/dardata/boss/afs/permits/260020008500002.pdf,600 E 233RD ST,BRONX,NY,10466,05/02/2013,05/01/2023,
NYC HA EDENWALD HOUSES-1170 229TH DR SO,2-6002-00226/00004,http://www.dec.ny.gov/dardata/boss/afs/permits/260020022600004.pdf,1170 229TH DR S,BRONX,NY,10466,04/26/2013,04/25/2023,
REDA CLEANERS,2-6002-00407/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/260020040700001.pdf,800 ALLERTON AVE,BRONX,NY,10467,06/15/2012,,
EASTCHESTER HEIGHTS,2-6002-00465/00007,http://www.dec.ny.gov/dardata/boss/afs/permits/260020046500007.pdf,3480 SEYMOUR AVE,BRONX,NY,10469,09/25/2012,,
JAMES J  PETERS VA MEDICAL CENTER,2-6004-00065/00009,http://www.dec.ny.gov/dardata/boss/afs/permits/260040006500009_r1_1.pdf,130 W KINGSBRIDGE RD,BRONX,NY,10468,07/28/2014,07/27/2024,
G A L MANUFACTURING CO - 50 E 153RD ST,2-6004-00079/00006,http://www.dec.ny.gov/dardata/boss/afs/permits/260040007900006.pdf,50 E 153RD ST,BRONX,NY,10451,03/22/2000,,
LEHMAN COLLEGE-BEDFORD PK BLVD W,2-6004-00089/00003,http://www.dec.ny.gov/dardata/boss/afs/permits/260040008900003_r1.pdf,250 BEDFORD PARK BLVD WEST,BRONX,NY,10468,01/21/2015,01/20/2025,
LINCOLN MEDICAL AND MENTAL HEALTH CENTER,2-6004-00092/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/260040009200001.pdf,234 EAST 149TH ST,BRONX,NY,10451,04/29/2003,,
FORDHAM HILL OWNERS CORP,2-6004-00099/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/260040009900001.pdf,2421 WEBB AVENUE,BRONX,NY,10468,04/20/1999,,
THE JEWISH HOME AND HOSPITAL-BRONX DIVISION,2-6004-00100/02002,http://www.dec.ny.gov/dardata/boss/afs/permits/260040010002002.pdf,100 WEST KINGSBRIDGE RD,BRONX,NY,10468,04/26/2013,04/25/2023,
EXECUTIVE TOWERS-1020 GRAND CONCOURSE,2-6004-00119/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/260040011900001.pdf,1020 GRAND CONCOURSE,BRONX,NY,10451,01/05/2000,,
MARIO MERIOLA BRONX CO BLDG,2-6004-00346/00003,http://www.dec.ny.gov/dardata/boss/afs/permits/260040034600003.pdf,851 GRAND CONCOURSE,BRONX,NY,10451,10/18/2013,10/17/2023,
NYC-HH - JACOBI MEDICAL CTR,2-6005-00011/00009,http://www.dec.ny.gov/dardata/boss/afs/permits/260050001100009.pdf,50 EASTCHESTER RD & PELHAM PKWY SOUTH,BRONX,NY,10461,09/01/2015,08/31/2025,
BRONX PSYCHIATRIC CENTER,2-6005-00115/00008,http://www.dec.ny.gov/dardata/boss/afs/permits/260050011500008.pdf,1500 WATERS PL,BRONX,NY,10461,07/23/2013,07/22/2023,
BRONX LEBANON HOSPITAL,2-6005-00148/00003,http://www.dec.ny.gov/dardata/boss/afs/permits/260050014800003.pdf,1650 GRAND CONCOURSE,BRONX,NY,10457,12/03/2007,,
BRONX LEBANON HOSPITAL CTR,2-6005-00179/00003,http://www.dec.ny.gov/dardata/boss/afs/permits/260050017900003.pdf,1276 FULTON AVE,BRONX,NY,10456,12/03/2007,,
PERRIGO NEW YORK INC-1700 BATHGATE AVE,2-6005-00183/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/260050018300001.pdf,1700 BATHGATE AVE,BRONX,NY,10457,12/22/1999,,
NYCT WEST FARMS BUS DEPOT,2-6005-00864/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/260050086400001_r1.pdf,1100 E 177TH ST,BRONX,NY,10460,05/16/2014,05/15/2024,
MARITIME COLLEGE-FORT SCHUYLER,2-6006-00011/00011,http://www.dec.ny.gov/dardata/boss/afs/permits/260060001100011.pdf,6 PENNYFIELD AVE,BRONX,NY,10465,11/04/2013,11/03/2023,
HUNTS POINT WWTP,2-6007-00025/02005,http://www.dec.ny.gov/dardata/boss/afs/permits/260070002502005.pdf,COSTER ST & RYAWA AVE,BRONX,NY,10474,05/02/2004,,
BUCKEYE TERMINALS LLC - BRONX TERMINAL,2-6007-00130/00002,http://www.dec.ny.gov/dardata/boss/afs/permits/260070013000002_r1.pdf,1040 E 149TH ST,BRONX,NY,10455,05/26/2015,05/25/2025,
JAMIE TOWERS,2-6007-00245/00002,http://www.dec.ny.gov/dardata/boss/afs/permits/260070024500002.pdf,2070 SEWARD AVE,BRONX,NY,10473,12/14/2012,,
BOULEVARD STORY LLC,2-6007-00356/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/260070035600001.pdf,2001 STORY AVE,BRONX,NY,10473,04/20/1999,,
STEVENSON COMMON ASSOCIATES,2-6007-00360/00003,http://www.dec.ny.gov/dardata/boss/afs/permits/260070036000003.pdf,755 WHITE PLAINS RD|1850 LAFAYETTE AVE,BRONX,NY,10473,04/18/2013,04/17/2023,
LELAND HOUSE,2-6007-00364/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/260070036400001.pdf,945 UNDERHILL AVE,BRONX,NY,10473,04/20/1999,,
THE NEW YORK POST,2-6007-00792/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/260070079200001.pdf,900 E 132ND ST,BRONX,NY,10454,06/09/2005,,
CROTON WATER TREATMENT PLANT,2-6099-00011/00005,http://www.dec.ny.gov/dardata/boss/afs/permits/260990001100005.pdf,VAN COURTLANDT PK S/W GUNHILL RD/JEROME AVE/VAN COURTLANDT PK E,BRONX,NY,,02/26/2007,,
CON EDISON - HUDSON AVE STATION,2-6101-00042/00044,http://www.dec.ny.gov/dardata/boss/afs/permits/261010004200044.pdf,1 HUDSON AVE,BROOKLYN,NY,11201,01/07/2013,,
UNITED METRO TERM-498 KINGSLAND AVE,2-6101-00093/00008,http://www.dec.ny.gov/dardata/boss/afs/permits/261010009300008_r1.pdf,498 KINGSLAND AVE,BROOKLYN,NY,11222,11/01/2013,10/31/2023,
"DOMINO REDEVELOPMENT - KENT AVE, GRAND ST - S 5TH ST",2-6101-00152/00009,http://www.dec.ny.gov/dardata/boss/afs/permits/261010015200009.pdf,266 KENT AVE,BROOKLYN,NY,11211,06/04/2009,,
BROOKLYN SUPREME COURT,2-6101-00253/00003,http://www.dec.ny.gov/dardata/boss/afs/permits/261010025300003.pdf,360 ADAMS ST,BROOKLYN,NY,11201,10/18/2013,10/17/2023,
NYC-HH - CUMBERLAND TREATMENT & DIAGNOSTIC CENTER,2-6101-00310/00004,http://www.dec.ny.gov/dardata/boss/afs/permits/261010031000004.pdf,100 N PORTLAND AVE,BROOKLYN,NY,11205,09/19/2013,09/18/2023,
NISA ELECTRIC GENERATION PROJECT,2-6101-00349/00011,http://www.dec.ny.gov/dardata/boss/afs/permits/261010034900011.pdf,BROOKLYN NAVY YARD-WALLABOUT CHANNEL,BROOKLYN,NY,11205,10/18/2001,,
G M D SHIPYARD - BROOKLYN NAVY YARD,2-6101-00369/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/261010036900001_r1.pdf,BROOKLYN NAVY YARD BLDG 595,BROOKLYN,NY,11205,09/22/2014,09/21/2024,
BROOKLYN NAVY YARD-BLDGS 41A 234 270 275 121,2-6101-00371/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/261010037100001.pdf,BROOKLYN NAVY YARD/BLDGS 41A 234 270 275 121,BROOKLYN,NY,11205,08/24/1999,,
POLYTECHNIC UNIVERSITY,2-6101-00391/00003,http://www.dec.ny.gov/dardata/boss/afs/permits/261010039100003.pdf,6 METROTECH CENTER,BROOKLYN,NY,11201,10/18/2004,,
363 HICKS STREET BUILDING,2-6101-00393/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/261010039300001.pdf,363 HICKS ST,BROOKLYN,NY,11201,10/01/1999,,
541 WYTHE AVENUE BUILDING,2-6101-00458/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/261010045800001.pdf,541 WYTHE AVE,BROOKLYN,NY,11249,04/20/1999,,
201 CLINTON AVE BUILDING,2-6101-00600/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/261010060000001.pdf,201 CLINTON AVE,BROOKLYN,NY,11205,03/01/2010,,
LEHIGH CEMENT COMPANY,2-6101-01151/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/261010115100001.pdf,"BROOKLYN NAVY YARD, PIER K|FLUSHING AVENUE & CUMBERLAND STREET",BROOKLYN,NY,11205,03/22/2006,,
UNITED BIOFUELS INC - 435 GREENPOINT AVE,2-6101-01278/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/261010127800001.pdf,435 GREENPOINT AVE,BROOKLYN,NY,11222,04/08/2014,04/07/2024,
BUCKEYE TERMINALS LLC - BROOKLYN TERMINAL,2-6102-00004/00006,http://www.dec.ny.gov/dardata/boss/afs/permits/261020000400006_r1.pdf,722 COURT ST & GOWANUS CREEK,BROOKLYN,NY,11231,06/12/2015,06/11/2025,
NYC-DOS HAMILTON AVENUE MTS,2-6102-00010/00019,http://www.dec.ny.gov/dardata/boss/afs/permits/261020001000019_r1.pdf,HAMILTON AVE & GOWANUS CANAL,BROOKLYN,NY,11232,11/15/2013,11/14/2023,
NYC-TA JACKIE GLEASON BUS DEPOT & 38TH ST YARD,2-6102-00079/02001,http://www.dec.ny.gov/dardata/boss/afs/permits/261020007902001_r1.pdf,871 5TH AVE,BROOKLYN,NY,11232,01/31/2014,01/30/2024,
BROOKLYN TECHNICAL HS,2-6103-00193/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/261030019300001.pdf,29 FT GREENE PL,BROOKLYN,NY,11217,06/17/2003,,
THE BROOKLYN HOSPITAL CENTER,2-6103-00406/00002,http://www.dec.ny.gov/dardata/boss/afs/permits/261030040600002.pdf,121 DEKALB AVE,BROOKLYN,NY,11201,09/19/2013,09/18/2023,
BROOKDALE HOSPITAL MEDICAL CTR,2-6104-00174/00011,http://www.dec.ny.gov/dardata/boss/afs/permits/261040017400011.pdf,1275 LINDEN BLVD,BROOKLYN,NY,11212,12/01/2014,11/30/2024,
BROOKLYN COLLEGE,2-6104-00195/00005,http://www.dec.ny.gov/dardata/boss/afs/permits/261040019500005.pdf,2900 BEDFORD AVE,BROOKLYN,NY,11210,01/23/2004,,
ACP BK I LLC - 630 FLUSHING AVE,2-6104-00207/00025,http://www.dec.ny.gov/dardata/boss/afs/permits/261040020700025.pdf,630 FLUSHING AVE,BROOKLYN,NY,11206,03/22/2000,,
LINDSAY PARK HOUSING CORP,2-6104-00267/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/261040026700001.pdf,30 MONTROSE AVE,BROOKLYN,NY,11206,05/30/2008,,
CLINTON HILL APARTMENTS,2-6104-00276/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/261040027600001.pdf,345 CLINTON AVE,BROOKLYN,NY,11238,01/12/2004,,
KINGSBROOK JEWISH MEDICAL CENTER,2-6104-00279/00002,http://www.dec.ny.gov/dardata/boss/afs/permits/261040027900002.pdf,585 SCHENECTADY AVE,BROOKLYN,NY,11203,08/18/2009,,
LINDSAY PARK HOUSING CORP,2-6104-00280/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/261040028000001.pdf,31 LEONARD ST,BROOKLYN,NY,11206,06/25/2008,,
KINGSBORO PSYCHIATRIC CTR,2-6104-00339/00003,http://www.dec.ny.gov/dardata/boss/afs/permits/261040033900003.pdf,681 CLARKSON AVE,BROOKLYN,NY,11203,10/18/2013,10/17/2023,
67 MANHATTAN AVE BUILDING,2-6104-00668/00001,http://www.dec.ny.gov/dardata/boss/afs/permits/261040066800001.pdf,67 MANHATTAN AVE,BROOKLYN,NY,11206,06/25/2008,,
26TH WARD WASTEWATER TREATMENT PLANT,2-6105-00009/02003,http://www.dec.ny.gov/dardata/boss/afs/permits/261050000902003.pdf,122-68 FLATLANDS AVE,BROOKLYN,NY,12207,06/29/2006,,
NYC-TA EAST NY BUS DEPOT & SHOPS,2-6105-00262/00011,http://www.dec.ny.gov/dardata/boss/afs/permits/261050026200011.pdf,1 JAMAICA AVE,BROOKLYN,NY,11207,11/20/2012,,
KINGS PLAZA ENERGY LLC,2-6105-00301/00011,http://www.dec.ny.gov/dardata/boss/afs/permits/261050030100011.pdf,5100 KINGS PLZ,BROOKLYN,NY,11234,12/21/2006,,
BROOKLYN DEV DISABILITIES SERVICE OFFICE,2-6105-00695/00002,http://www.dec.ny.gov/dardata/boss/afs/permits/261050069500002.pdf,888 FOUNTAIN AVE,BROOKLYN,NY,11208,06/17/2013,06/16/2023,
